"","TCGA.CH.5761.11A.01R.1580.07","TCGA.CH.5761.11A.01R.1580.08","TCGA.CH.5761.11A.01R.1580.09","TCGA.CH.5761.11A.01R.1580.10","TCGA.CH.5761.11A.01R.1580.11","TCGA.CH.5761.11A.01R.1580.12","TCGA.CH.5761.11A.01R.1580.13","TCGA.CH.5761.11A.01R.1580.14","TCGA.CH.5761.11A.01R.1580.15"
"AKAP14","0.4579","1.2687","0","0","1.543","0.299","0","0","0"
"AKAP2","309.6646","474.444","470.0566","601.1459","908.4241","3431.256","403.131","1354.6932","1449.9155"
"AKAP3","38.9239","77.6433","84.1584","6.4935","86.0221","17.6435","30.9051","55.1876","49.6329"
"AKAP4","0.4579","0","0","0","0","0","0","0","0"
"AKAP5","15.5695","28.1647","22.6308","117.6471","27.3882","107.9545","58.8668","65.7837","123.5758"
"AKAP6","113.1082","133.4654","185.29","68.7548","143.4987","761.6627","87.5644","117.4393","196.5058"
"AKAP7","498.2255","393.0377","301.273","240.2597","475.6288","394.7368","1569.9043","390.287","577.3623"
"AKAP8","671.3223","809.4192","640.0283","677.6165","612.1841","514.055","486.0191","681.6777","800.5416"
"AKAP8L","760.1603","832.763","684.5827","944.6142","606.0121","556.2201","527.5938","603.0905","714.106"
"AKAP9","2100.0572","2756.5925","2742.5743","1904.1253","1911.0019","1450.0598","866.078","2540.8389","2151.0967"
"AKD1","104.4076","127.122","110.3253","146.2949","141.9557","128.5885","139.4408","128.9183","93.1883"
"AKIRIN1","1474.5278","2150.4162","958.9816","1448.8159","1301.1323","1863.6364","1765.2686","1565.5629","1180.7229"
"AKIRIN2","413.9668","428.5608","443.4229","367.0741","394.2357","626.4952","484.5475","392.053","517.2626"
"AKNA","786.7201","638.9083","393.2107","433.1551","432.4249","626.7943","217.8072","697.1302","1895.1665"
"AKNAD1","0.4579","1.0149","2.8289","0.7639","1.1572","4.7847","1.4717","0.883","2.7011"
"AKR1A1","2977.4471","2396.0331","2524.0453","3702.0626","3093.7091","1338.5167","4448.4915","1890.9492","1756.397"
"AKR1B1","464.3389","719.089","474.5403","328.877","663.8745","1196.4713","1291.0228","697.5717","912.3"
"AKR1B10","0.9159","3.5523","0","1.5279","0.3857","11.0646","4.7829","7.064","2.7011"
"AKR1B15","0","0.2537","0","0","0","12.8589","0","0","0.6753"
"AKR1C1","41.2135","101.7483","41.7256","235.6761","77.5356","536.1842","147.535","88.7417","352.1573"
"AKR1C2","33.8867","67.4939","15.5587","112.6814","32.7887","147.4282","90.5077","73.7307","89.8119"
"AKR1C3","34.3446","86.5241","27.5813","195.9511","108.7813","247.6077","156.365","61.8102","219.1276"
"AKR1C4","0","0","0","0","0","0","0","0","0"
"AKR1CL1","0","0","0","0","0","0","0","0","0"
"AKR1D1","3.6634","0","0","1.5279","0","0","0","0","0"
"AKR1E2","5.4951","19.5377","6.3649","7.6394","16.5872","17.9426","26.1221","15.011","13.8432"
"AKR7A2","1218.0882","965.2134","1165.488","1581.7418","1192.351","995.2153","2023.5467","1017.66","906.2225"
"AKR7A3","10.0744","11.1644","7.7793","11.8411","8.4865","3.5885","8.83","3.9735","5.0646"
"AKR7L","7.3268","8.8808","6.3649","14.8969","6.172","2.6914","1.8396","4.415","2.3635"
"AKT1","5591.2994","5024.9962","4949.7878","7501.5279","6035.433","4923.1459","3534.5843","5438.8521","3769.3995"
"AKT1S1","1308.2999","917.0034","1041.7256","1409.0909","1038.0513","1091.2081","859.0876","983.223","787.036"
"AKT2","3350.6583","2912.133","2541.0184","2666.5393","2735.7338","3046.9498","2168.5063","2573.9514","2368.5361"
"AKT3","787.178","1281.6227","1448.3734","1220.3972","1302.6753","2770.0359","991.9058","1668.8742","1571.3709"
"AKTIP","552.9845","600.7362","713.2956","473.2659","661.4057","1070.8283","1210.4415","643.0993","769.759"
"ALAD","1906.8117","1452.1336","3119.5191","753.6287","2316.8101","1376.1962","1823.7675","1743.9294","1736.4763"
"ALAS1","1024.8426","1601.0769","1202.9703","1009.5493","1070.0685","1013.1579","903.9735","856.0706","872.121"
"ALAS2","0","0.5075","0.7072","1.1459","2.3145","0.299","2.2075","0","0.3376"
"ALB","1.3738","5.8359","4.2433","17.1887","6.172","0.5981","15.0846","3.532","0.6753"
"ALCAM","3779.7367","3231.0797","5521.2164","3960.275","4144.1044","1399.2225","3411.3319","2585.4305","2346.9272"
"ALDH16A1","789.9256","443.0238","238.331","718.8694","338.3021","353.4689","275.9382","517.8808","527.7294"
"ALDH18A1","2050.1431","1742.6618","2709.3352","2989.6868","2314.8813","1423.1459","1389.2568","1857.3951","1617.6274"
"ALDH1A1","399.3131","1016.9756","980.9052","534.7594","2130.1074","1896.8301","1443.7086","1525.8278","2166.9658"
"ALDH1A2","368.174","1139.0228","611.7397","289.916","999.8621","2430.9211","575.4231","747.4614","1113.8704"
"ALDH1A3","9408.1374","9657.414","4723.6421","4388.5447","9460.6936","8060.4007","8492.5018","8974.9272","7485.2427"
"ALDH1B1","1153.0624","2053.2352","1197.3126","2158.518","2006.2819","8694.378","1536.7918","2032.2296","1699.6737"
"ALDH1L1","668.5747","1385.4009","628.0057","1016.0428","447.4691","223.0861","483.8116","578.3664","206.9726"
"ALDH1L2","65.0258","54.5533","57.2843","57.6776","123.4398","1560.4067","93.0831","354.5254","340.0023"
"ALDH2","5561.0761","4340.6691","4263.7907","1022.5363","4760.5317","6221.5909","4328.1825","4487.4172","4269.4425"
"ALDH3A1","136.0046","188.2724","70.7214","24.4461","103.7666","15.8493","60.7064","46.7991","52.6717"
"ALDH3A2","5768.0595","5381.4959","4349.3635","2466.0046","6604.4132","3515.5502","7992.2737","4566.4459","4010.8112"
"ALDH3B1","233.0853","255.5126","146.3932","88.6173","124.597","145.933","80.9419","149.6689","318.3934"
"ALDH3B2","735.8901","737.3581","491.5134","297.1734","513.0465","68.1818","97.8661","171.3024","119.5241"
"ALDH4A1","1976.8746","3043.8222","2392.5035","2694.4232","2734.9623","1881.5789","3140.1766","2434.4371","1865.4543"
"ALDH5A1","871.4367","856.1067","1180.3395","786.8602","786.9285","794.8565","679.5438","715.6733","818.4364"
"ALDH6A1","1182.8735","880.6456","1431.9024","972.2689","1408.4747","1103.8487","1003.4327","1339.2318","1035.3964"
"ALDH7A1","2994.8483","2383.3463","2949.7878","3213.1398","3569.7237","1477.5718","3684.3267","2153.6424","1423.1475"
"ALDH8A1","3.2055","3.806","4.2433","6.8755","2.7002","4.1866","2.5754","3.0905","6.4151"
"ALDH9A1","3079.107","2648.2471","3422.2065","3393.4301","2667.4562","3453.9474","7461.3687","4172.6269","3570.1926"
"ALDOA","14421.0647","14607.6061","15584.8656","29805.5768","17037.7735","28145.933","17775.5703","15818.543","11271.0581"
"ALDOB","1.8317","2.2836","3.5361","2.6738","2.3145","0.8971","0","1.3245","1.3506"
"ALDOC","583.858","434.9042","745.4031","681.8182","528.8622","763.1579","674.3929","435.7616","486.8751"
"ALG1","907.8145","510.8425","663.4158","706.7341","780.8529","357.4342","827.1413","562.181","475.679"
"ALG10","119.9771","145.391","169.024","87.8533","128.0688","111.5431","238.7785","146.5784","127.2898"
"ALG10B","321.9233","349.3951","427.157","330.4049","312.4569","247.0096","372.3326","336.8653","343.041"
"ALG11","6.8689","21.0601","8.4866","9.5493","7.715","7.7751","8.83","11.0375","12.4926"
"ALG12","1131.5398","776.9409","784.2999","1294.8816","1017.2208","523.0263","747.6085","707.7263","503.7571"
"ALG13","560.5037","808.1505","543.8472","669.2131","558.1792","433.0144","1064.7535","501.1038","470.3308"
"ALG14","199.1986","209.84","190.9477","221.1612","275.8107","117.2249","410.596","189.404","149.2363"
"ALG1L","11.8512","85.088","24.314","3.495","13.0769","16.9258","107.9213","13.8808","10.4499"
"ALG1L2","0","0","0","0","0","0.5981","0","0","0"
"ALG2","1416.8288","1116.1865","1207.2136","827.3491","1324.2772","783.1938","1783.6645","974.8344","916.6893"
"ALG3","985.9187","652.6101","632.9562","559.9694","913.84","456.9378","688.7417","575.2759","437.2422"
"ALG5","789.9256","725.1787","656.2942","840.3361","822.0317","378.5885","1783.6645","586.755","551.7018"
"ALG6","288.4946","280.125","185.29","256.3025","303.5847","137.5598","247.6085","257.3951","214.7383"
"ALG8","811.4482","627.9977","696.6054","885.7907","735.2381","354.6651","847.3142","632.2296","452.0983"
"ALG9","546.7659","589.9372","609.6181","577.5401","622.2136","755.0837","524.2826","581.0155","486.1999"
"ALK","3.2055","3.0448","0.7072","1.5279","1.543","4.4856","0.7358","0.4415","4.3893"
"ALKBH1","189.5821","192.5859","263.0835","189.4576","266.5527","174.6411","481.972","226.9316","260.3195"
"ALKBH2","241.328","283.9311","229.8444","225.3629","303.1989","173.1459","479.0287","192.4945","186.039"
"ALKBH3","381.9118","447.8448","478.0764","400.6875","481.8008","303.2297","783.2965","299.3377","326.8343"
"ALKBH4","347.5627","176.3823","312.2136","246.1345","322.0736","229.7817","387.3032","201.7219","256.3421"
"ALKBH5","3358.7636","2457.2064","2738.2532","2467.3911","2390.0484","4340.4067","1898.8153","2856.3885","2566.9799"
"ALKBH6","132.7991","119.7636","91.9378","136.3636","112.6388","73.8636","192.7888","90.5077","70.5665"
"ALKBH7","1204.8082","618.1019","1024.7525","1595.4927","1019.9211","659.39","2313.0979","746.5784","618.8919"
"ALKBH8","184.5449","208.8251","254.5969","92.055","178.2162","203.3493","250.9198","214.5695","292.0576"
"ALLC","0.4579","0.2537","0","0.7639","0.7715","0.299","0.3679","0","0.6753"
"ALMS1","496.8517","676.9688","657.7086","749.809","518.447","1086.1244","263.0611","864.4592","927.8314"
"ALMS1P","1.3738","2.0299","2.8289","2.6738","2.3145","1.1962","2.9433","4.8565","3.714"
"ALOX12","2.7476","10.256","8.4866","3.4377","3.4949","2.1142","2.9433","2.649","1.3506"
"ALOX12B","10.5323","7.1046","1.4144","5.3705","1.1572","2.6914","2.5754","1.766","3.92"
"ALOX12P2","23.3543","29.9409","10.6082","84.4156","23.145","1.4952","31.273","5.7395","17.8949"
"ALOX15","2.2896","15.4779","32.5318","469.8243","6.5577","4.4856","1.4717","6.6225","11.4797"
"ALOX15B","4278.8781","4817.4398","1968.8826","3026.738","6472.1012","2701.256","2873.0684","2438.8521","2407.3646"
"ALOX5","489.9828","1031.9461","461.8105","223.835","340.6166","269.1388","376.0118","391.17","781.2962"
"ALOX5AP","134.1729","132.4504","51.6266","117.6471","96.4373","128.5885","190.2134","120.9713","362.9617"
"ALOXE3","28.8495","7.6121","4.2433","3.4377","3.4717","1.1962","1.1038","1.766","2.7011"
"ALPI","0","0","0","0","0","0","0","0","0"
"ALPK1","320.0916","472.4572","259.5474","298.7013","250.737","230.5622","234.7314","299.7792","511.5228"
"ALPK2","5.4951","7.1046","4.2433","11.0772","9.6437","101.6746","5.5188","7.5055","40.179"
"ALPK3","81.0532","116.9725","81.3296","123.3766","104.9238","1452.4522","53.3481","300.6623","183.6755"
"ALPL","337.4928","305.2449","77.7935","304.8128","671.2037","267.6435","102.2811","240.1766","208.3231"
"ALPP","0","1.5224","0","0","0.3857","0","0","0","0.3376"
"ALPPL2","0","0.2537","0","0","0","0","0","0","0"
"ALS2","445.5638","590.6984","439.1796","476.3178","445.1547","524.2225","348.05","498.8962","571.9601"
"ALS2CL","252.3183","733.2983","171.1457","112.2995","139.6412","105.2632","52.9801","147.4614","201.2327"
"ALS2CR11","2.2896","5.0747","2.1216","0.7639","4.2432","9.5694","4.7829","6.6225","12.155"
"ALS2CR12","0","2.7911","2.1216","0.7639","1.1572","0","0","0.4415","2.3635"
"ALS2CR4","850.3721","1195.8598","981.6124","493.8885","941.614","646.2321","1233.9956","739.9558","859.2907"
"ALS2CR8","155.6955","262.8709","214.9929","160.4278","208.6904","249.1029","306.1074","218.1015","292.7328"
"ALX1","0","1.5224","2.1216","77.1581","0.7715","0","1.8396","0.4415","0"
"ALX3","34.8025","27.4035","41.7256","11.8411","14.6585","27.512","5.5188","16.777","21.9465"
"ALX4","0","0.5075","7.0721","0.7639","0.3857","98.9833","0","1.766","1.6882"
"AMAC1","0","0.2537","0","0","0","0.299","0","0","0"
"AMAC1L2","0.9159","0.7612","0","1.9099","0.3857","0.299","1.4717","1.3245","0.6753"
"AMAC1L3","0.4579","0.7612","0.7072","1.1459","0","0","0","0.883","0.3376"
"AMACR","1142.988","822.106","622.3479","6300.9931","2508.5275","1259.5694","1369.7572","1467.5497","668.8624"
"AMBN","0","0","0","0","0","0","0","0","0"
"AMBP","3.2055","1.5224","0","2.6738","2.3145","0.299","4.415","0","1.3506"
"AMBRA1","944.2473","912.9437","958.9816","853.7051","895.324","958.7321","622.8845","981.8985","1042.6286"
"AMD1","12809.1586","11184.7017","13880.396","14023.3002","16472.6509","3872.9067","19507.9176","10039.2936","4826.2089"
"AMDHD1","2.2896","7.1046","8.4866","0.7639","3.4717","2.3923","2.2075","2.649","1.3506"
"AMDHD2","242.1614","176.7782","162.6591","286.2796","179.1072","109.5185","199.9043","128.83","157.6773"
"AMELX","3.6634","0.2537","2.1216","1.1459","1.1572","0","1.1038","0","0"
"AMELY","0","0.7612","4.2433","1.1459","3.086","0.299","0.7358","0.4415","0"
"AMFR","2530.5094","2547.7675","2809.7595","2116.1192","3208.6624","3166.866","3233.6277","2630.4636","2742.3023"
"AMH","0.9159","0.7612","3.5361","1.1459","2.3145","0","1.8396","1.766","0"
"AMHR2","1.8317","1.0149","1.4144","3.8197","1.543","2.3923","1.8396","0.883","1.6882"
"AMICA1","242.2438","249.6766","23.338","147.8228","111.0958","102.5718","178.8079","128.4768","537.521"
"AMIGO1","320.5495","209.3326","314.71","109.6257","290.4692","482.3565","162.6196","272.8477","274.838"
"AMIGO2","212.4785","222.5268","553.041","420.1681","350.2526","621.1124","329.2789","276.3797","342.0281"
"AMIGO3","200.5724","111.644","324.611","140.1833","158.9287","66.6866","68.8006","118.3223","71.5794"
"AMMECR1","242.2438","325.7976","195.1909","793.3537","212.5478","132.7751","168.8742","267.5497","238.0353"
"AMMECR1L","577.4471","744.2089","550.2122","718.8694","626.0711","562.5","505.8867","674.6137","685.4067"
"AMN","9.1586","6.3434","7.0721","2.2918","2.7002","1.1962","2.2075","0.883","2.7011"
"AMN1","141.9576","204.5116","214.9929","133.6898","215.2481","202.1531","384.8418","202.649","203.9338"
"AMOT","1664.5678","948.213","919.3777","696.715","1055.0242","1776.6148","666.2987","1817.66","1177.3465"
"AMOTL1","3068.5747","4270.6378","9094.7666","1541.6348","4351.6375","10095.0957","1623.2524","3950.9934","4035.7965"
"AMOTL2","1139.7825","1681.2576","2094.0594","1723.835","999.8621","5377.0933","1427.5202","2389.404","2562.6784"
"AMPD1","8.2427","4.821","0.7072","1.1459","0","499.4019","0","0.883","17.5572"
"AMPD2","815.1116","1055.0361","734.7949","823.1474","750.2823","1275.7177","382.2664","993.3775","1296.8706"
"AMPD3","587.0635","518.3835","357.1429","978.9916","518.8328","435.7057","296.9095","385.4305","608.7627"
"AMPH","5.9531","30.1946","9.901","6.8755","25.8452","111.244","32.7447","78.1457","115.4725"
"AMT","576.925","560.2424","661.9519","109.2437","450.7596","232.3565","848.7859","330.6225","314.183"
"AMTN","0.4579","13.9555","31.1174","0","8.4865","1.7943","115.894","2.2075","7.0904"
"AMY1A","0.4579","0.5075","1.4144","0","0.7715","0.5981","0","0","1.0129"
"AMY2A","0.4579","0.7612","1.4144","0.382","0","0.299","0","0","0"
"AMY2B","74.6422","223.3084","77.7935","22.3988","45.3448","23.3553","34.6799","29.5364","31.5253"
"AMZ1","0.9159","4.0598","1.4144","1.9099","1.543","3.5885","2.2075","2.649","7.0904"
"AMZ2","871.4367","1034.4834","1132.9562","870.5118","1129.4738","1471.5909","1719.6468","1022.9581","951.4661"
"AMZ2P1","136.9204","192.5859","282.1782","100.0764","185.9311","319.378","476.4533","252.9801","216.0888"
"ANAPC1","587.9794","706.1485","646.3932","1050.4202","528.8622","724.8804","300.9566","652.0971","920.741"
"ANAPC10","81.5112","121.7935","117.3975","83.2697","113.4103","103.1699","219.6468","96.2472","108.3821"
"ANAPC11","1240.0687","894.4209","1067.8925","1399.1597","1627.8619","831.6388","2818.2487","912.5828","705.3274"
"ANAPC13","1161.0395","1433.489","1359.2857","1060.7181","1359.9899","1309.6112","1862.8293","1239.0861","1079.5663"
"ANAPC16","3184.8884","2856.8184","2770.1556","2596.2567","3457.8564","3398.3254","6884.4739","2694.9227","2691.3188"
"ANAPC2","1226.3309","923.6006","826.0255","859.0527","887.6091","584.0311","600.4415","806.6225","704.3145"
"ANAPC4","365.8844","554.4141","359.2645","262.4141","395.0072","368.4211","410.596","384.106","463.5781"
"ANAPC5","2106.0103","2280.3293","1984.4413","2882.3529","2654.3407","1504.7847","2736.9389","1713.4658","1750.6571"
"ANAPC7","912.6503","1116.694","938.4724","1025.974","1182.3215","964.4139","1508.4621","995.1435","956.1931"
"ANG","1037.1013","744.351","808.0764","287.5172","870.5821","315.7925","2198.0169","403.8499","503.2911"
"ANGEL1","478.9926","480.0693","462.5177","528.2659","530.791","648.9234","340.3238","504.1943","485.1869"
"ANGEL2","601.2593","738.1193","702.9703","513.369","653.845","545.7536","808.6829","617.2185","751.5839"
"ANGPT1","464.3389","651.0877","614.5686","187.9297","1053.867","2121.4115","1917.9544","1596.9095","1545.7104"
"ANGPT2","51.7459","55.822","42.4328","166.5393","70.5921","138.756","122.8845","323.6203","307.5889"
"ANGPT4","0.9159","1.5224","2.1216","1.1459","1.543","1.4952","0.3679","5.298","1.3506"
"ANGPTL1","66.8575","112.659","58.6987","44.6906","212.5478","684.5096","815.3054","601.766","490.9268"
"ANGPTL2","375.9588","598.0568","1127.2984","891.9022","996.3904","1657.2967","818.6166","1305.9603","2116.6576"
"ANGPTL3","0.4579","0.5075","2.1216","21.3904","3.086","0","0.7358","30.0221","0.6753"
"ANGPTL4","71.4367","2151.4312","165.488","182.9641","222.1916","57.4163","255.7027","573.9514","138.0943"
"ANGPTL5","0.4579","0.7612","0","0","0","1.7943","0.7358","0.883","4.3893"
"ANGPTL6","0.5541","1.2332","0.8911","3.0367","1.8747","1.0646","0.883","1.5408","3.9402"
"ANGPTL7","27.0177","202.7354","74.2574","19.4805","200.2039","201.555","27.5938","47.6821","29.7122"
"ANK1","31.1391","52.2697","18.3876","28.6478","40.8894","541.567","19.1317","34.8786","68.5407"
"ANK2","118.1454","201.4667","282.1782","134.4538","269.6387","1726.9737","275.2024","778.3664","820.7999"
"ANK3","1550.0859","1563.2701","1378.3593","1551.1841","1257.1569","1238.9354","634.2899","1615.011","1341.7766"
"ANKAR","38.9239","60.643","33.239","43.5447","45.5184","32.8947","51.5085","43.7086","64.8266"
"ANKDD1A","57.6989","84.2405","297.0297","37.0512","160.4717","298.744","169.2421","170.4194","246.4763"
"ANKFN1","5.0372","7.6121","0.7072","0.382","0.7715","3.2895","0.3679","4.415","8.441"
"ANKFY1","1900.4007","1921.7997","1942.7157","1589.3812","1604.7169","1648.3254","1000.7358","1860.4857","1993.0818"
"ANKH","7537.4928","5753.4735","8151.3437","3354.851","6186.261","3988.3373","5379.6909","3559.3819","4814.7292"
"ANKHD1","1678.9971","2018.486","2040.7709","1732.4064","1612.4705","2244.9701","1180.5666","1738.6049","2512.8835"
"ANKHD1.EIF4EBP3","1447.7894","1465.1198","1496.0467","1794.7326","1136.8224","860.4157","781.2583","1673.0243","1000.7141"
"ANKIB1","978.5919","1183.9342","987.9774","879.2972","1052.7097","1353.7679","839.9558","1169.9779","1288.092"
"ANKK1","20.1488","25.1199","39.604","9.1673","32.4029","9.2703","12.5092","8.3885","6.7528"
"ANKLE1","8.4808","8.1196","2.8289","1.5279","7.3292","2.3923","5.8867","5.298","4.7269"
"ANKLE2","1153.0624","1378.55","1463.2249","1290.2979","1300.3608","1067.5837","1034.5843","1186.3135","1166.542"
"ANKMY1","211.5627","270.7368","278.6421","235.6761","219.4913","113.3373","110.0074","165.5629","244.6463"
"ANKMY2","445.1059","539.9511","546.6761","277.3109","516.1325","773.3254","508.83","546.1369","609.438"
"ANKRA2","517.0006","524.2195","461.1033","367.838","486.0441","338.5167","794.3341","360.7064","376.1296"
"ANKRD1","0.4579","11.1644","1.4144","40.8709","1.1572","354.366","2.5754","11.479","405.5042"
"ANKRD10","1325.7012","2073.8411","1195.1909","1834.2246","913.2652","665.9689","887.4172","722.2958","864.0177"
"ANKRD11","2610.6514","2718.9381","2418.0127","2105.1604","1970.7891","2847.9994","742.8882","2653.0817","2711.5434"
"ANKRD12","1047.2811","1269.9508","1655.587","1056.1497","883.3658","1286.4833","628.0353","1378.8079","1744.9173"
"ANKRD13A","1277.1608","1323.2355","1104.6676","1420.55","1045.3805","2117.2249","953.2745","1316.1148","1731.7494"
"ANKRD13B","51.2879","77.6433","98.3027","169.2131","77.5356","98.6842","41.5747","96.6887","74.9558"
"ANKRD13C","563.7092","638.9083","620.9335","420.1681","522.3045","671.3517","747.6085","675.9382","700.6005"
"ANKRD13D","571.494","631.0425","412.3055","668.0672","471.3856","325.3589","310.1545","406.6225","430.1518"
"ANKRD16","208.8151","133.138","157.7086","173.0328","138.0982","105.1705","132.4503","122.7373","154.2604"
"ANKRD17","2410.5323","2570.8575","3095.4738","2796.4095","2488.8543","2468.3014","1202.7226","2991.17","3009.3745"
"ANKRD19","18.775","40.0904","67.1853","18.7166","21.9877","51.4354","56.6593","25.1656","19.2454"
"ANKRD2","1.3738","10.4032","1.4144","0.382","4.629","95.0957","2.2075","1.766","11.1421"
"ANKRD20A3","13.2799","15.4779","12.7298","3.0558","17.3587","1.7943","5.8867","14.5695","15.5314"
"ANKRD20A4","0.4579","2.2836","2.8289","0","1.9287","0.299","0","0.883","4.3893"
"ANKRD20B","4.1214","11.1644","6.3649","1.5279","10.4152","2.3923","12.1413","5.298","15.5314"
"ANKRD22","296.7373","411.053","483.0269","315.508","295.0982","49.9402","447.0199","162.4724","184.6884"
"ANKRD23","32.055","52.016","38.8967","38.5791","43.5897","646.2321","15.4525","30.0221","73.9429"
"ANKRD24","101.66","72.3149","130.8345","26.356","56.3194","40.6699","26.4901","48.5651","71.2418"
"ANKRD26","132.7991","269.4681","173.9745","127.1963","140.4127","163.5766","115.894","198.6755","216.4265"
"ANKRD26P1","0.9159","0","0","0","0.7715","2.0933","0","0","0.3376"
"ANKRD27","931.8832","1072.0364","1016.9731","810.1604","993.6901","1941.3876","835.1729","1080.7947","879.2114"
"ANKRD28","763.3658","959.6312","995.0495","961.4209","724.4371","765.2512","528.3297","775.2759","945.051"
"ANKRD29","46.2507","130.928","188.826","57.2956","203.6756","507.7751","194.2605","139.5143","271.1239"
"ANKRD30A","0.4579","0","0","0","5.0147","0","0","0","0"
"ANKRD30B","0.4579","0.7612","0.7072","0.382","0","1.7943","1.1038","0.883","0.3376"
"ANKRD31","0.9159","2.2836","1.4144","0.382","1.1572","0.8971","0.7358","0.4415","2.0258"
"ANKRD32","76.9319","124.3308","119.5191","118.793","101.8378","89.4139","98.9698","124.5033","159.3655"
"ANKRD33","0","0","0","0","0","0.299","0","1.3245","0"
"ANKRD34A","47.6245","44.6576","62.2348","21.7723","66.3489","84.3301","41.9426","56.5121","58.7491"
"ANKRD34B","10.9903","123.3159","0.7072","1037.4332","151.5995","1.1962","0.3679","3.532","0"
"ANKRD34C","0.4579","0.5075","0.7072","0","0","0.299","2.5754","1.3245","3.0387"
"ANKRD35","200.5724","207.0489","222.7723","76.0122","175.9017","251.1962","300.5887","232.2296","274.5003"
"ANKRD36","63.652","193.6009","74.9646","105.042","70.9779","39.4737","50.0368","43.2671","81.3709"
"ANKRD36B","8.2427","71.8074","13.4371","25.2101","18.516","2.3923","16.5563","7.947","17.5572"
"ANKRD36BP1","130.5094","109.3604","151.3437","66.8449","96.8231","168.9593","54.4518","172.1854","244.4505"
"ANKRD37","960.9479","1548.7285","461.2376","352.4828","876.1292","282.5598","1174.599","397.479","237.853"
"ANKRD39","209.273","177.3618","139.3211","241.7876","239.1645","166.567","347.3142","132.0088","140.4577"
"ANKRD40","962.1065","1244.5772","969.5898","1140.5653","1207.3952","2680.622","1207.5055","1747.0199","1564.2805"
"ANKRD42","283.4574","343.0516","226.3083","225.7448","224.5061","370.2153","196.1001","325.8278","292.3952"
"ANKRD43","119.9771","85.0017","766.6195","36.6692","204.0614","47.8469","155.2612","75.9382","96.5647"
"ANKRD44","32.055","52.5234","25.4597","48.8923","54.7764","120.2153","59.6026","101.1038","262.683"
"ANKRD45","2.7476","2.7911","10.6082","1.9099","4.2432","101.6746","36.0559","47.6821","58.0739"
"ANKRD46","351.107","472.0512","495.983","267.1276","466.1086","623.0891","969.1354","466.6358","539.0201"
"ANKRD49","247.739","274.7966","307.6379","176.8526","275.8107","178.2297","497.0567","209.713","263.0206"
"ANKRD5","179.5077","179.8991","170.4385","134.0718","156.2285","66.0885","177.7042","164.6799","183.6755"
"ANKRD50","931.8832","981.96","1007.7793","1591.673","1060.4247","1595.9928","758.2781","1400.883","2481.3075"
"ANKRD52","1790.498","1544.2399","1430.6931","997.7082","1120.6016","1546.0526","357.9838","1582.7815","1292.8189"
"ANKRD53","33.8867","29.6872","21.2164","9.5493","18.1302","62.5","22.443","30.0221","31.4004"
"ANKRD54","378.7064","314.6332","263.0835","499.2361","403.4937","376.1962","481.2362","341.7219","306.576"
"ANKRD55","2.7476","1.2687","0","0.7639","1.543","2.0933","2.9433","3.532","13.5056"
"ANKRD56","72.8105","115.7038","154.8798","157.372","84.0933","27.811","29.8013","115.6733","84.4097"
"ANKRD57","451.9748","1484.8656","635.785","340.3361","459.0416","872.9067","501.4717","682.1192","553.7276"
"ANKRD58","8.7006","1.0149","0.7072","14.8969","3.8575","5.9809","3.6792","3.9735","16.2067"
"ANKRD6","194.6377","301.4262","235.4243","339.8281","238.7016","249.0132","285.8793","267.2494","333.7796"
"ANKRD7","0","2.0299","0.7072","0.382","1.9287","3.2895","4.0471","3.532","3.714"
"ANKRD9","139.2101","128.3906","101.8388","109.6257","47.8329","81.0407","42.3105","70.1987","60.0997"
"ANKS1A","1086.2049","947.9593","1060.1132","980.9015","914.2258","2185.1077","504.7829","1347.0199","1229.0052"
"ANKS1B","16.0275","29.1797","26.8741","41.6348","49.3759","316.0885","27.9617","81.2362","62.4632"
"ANKS3","392.4442","273.7816","316.1245","297.9374","240.3218","162.6794","190.9492","198.6755","235.3342"
"ANKS4B","0.9159","1.2687","0","0","1.1572","0","0","0.883","0"
"ANKS6","388.7808","418.9188","267.3267","540.107","370.3193","295.4545","128.0353","188.9625","299.148"
"ANKZF1","712.5358","762.7317","622.3479","894.194","566.6657","198.2656","434.5107","253.8631","415.6334"
"ANLN","32.5129","86.2704","12.0226","369.7479","38.1892","56.2201","65.1214","73.7307","113.7843"
"ANO1","818.775","2293.7773","1176.0962","599.3125","1230.1544","932.4163","548.1972","1218.9845","976.789"
"ANO10","564.1671","599.3254","642.8571","707.7922","771.8843","700.6579","638.7049","625.6071","557.104"
"ANO2","8.7006","19.0302","4.9505","6.1115","22.3735","21.5311","9.5659","25.1656","25.9982"
"ANO3","0","2.0299","0","11.8411","1.1572","8.9713","0.3679","8.83","2.7011"
"ANO4","93.8752","167.9735","125.1768","21.7723","229.9066","340.9091","409.8602","279.4702","295.7716"
"ANO5","130.9674","277.8414","149.9293","117.2651","327.8869","1419.8565","477.9249","355.4084","466.6168"
"ANO6","1377.4471","1753.8262","1685.29","1166.5393","1629.0191","7397.7273","1666.2987","2871.5232","3385.5042"
"ANO7","3453.692","3935.1983","3405.9406","577.1581","3793.4583","1222.488","1522.443","1449.4481","1124.6748"
"ANO8","252.7762","187.0037","123.7624","247.5172","138.0982","150.4187","80.206","228.6976","213.7254"
"ANO9","228.9639","284.4385","50.9194","78.304","71.3636","14.6531","94.9227","71.9647","92.1754"
