"","TCGA.CH.5761.11A.01R.1580.07","TCGA.CH.5761.11A.01R.1580.08","TCGA.CH.5761.11A.01R.1580.09","TCGA.CH.5761.11A.01R.1580.10","TCGA.CH.5761.11A.01R.1580.11","TCGA.CH.5761.11A.01R.1580.12","TCGA.CH.5761.11A.01R.1580.13","TCGA.CH.5761.11A.01R.1580.14","TCGA.CH.5761.11A.01R.1580.15"
"ATP10D","428.1626","826.6733","422.9137","246.3713","573.6092","529.0072","374.908","592.4945","842.4088"
"ATP11A","1648.0824","791.6577","1311.8812","1490.0688","839.3904","456.6388","147.167","832.6711","1334.3485"
"ATP11B","2461.3623","2636.5752","3735.5021","4188.6937","2422.8911","1637.2608","1973.8779","2903.3113","2540.7319"
"ATP11C","430.9101","566.5934","480.9052","660.8098","513.4323","826.256","407.6527","826.9316","894.7428"
"ATP12A","2.7476","7.3584","69.3069","983.5752","91.8083","0.5981","6.2546","22.5166","20.596"
"ATP13A1","1888.0366","1232.3978","1283.5926","2411.3827","1638.2771","579.8445","643.8558","1356.2914","1047.6932"
"ATP13A2","1983.7436","1184.4416","1330.976","1135.5997","1294.5745","495.5144","394.0397","968.2119","736.3902"
"ATP13A3","1644.8769","1874.351","2029.703","2101.2223","1594.6875","1538.8756","1205.298","1579.6909","2088.9712"
"ATP13A4","0.9159","5.0747","0","1.5279","1.543","5.9809","0.3679","1.766","5.7399"
"ATP13A5","0","0","0","0.382","0","0","0.7358","0","0"
"ATP1A1","23367.565","21243.7551","14603.1895","19899.1291","16695.9573","9072.9575","11600.7395","19705.5055","14338.152"
"ATP1A2","1053.2341","1666.5409","970.297","178.3804","2052.5718","8725.7775","1398.4547","2887.4172","2487.385"
"ATP1A3","2.2896","5.0747","6.3649","2.6738","3.4717","31.3995","2.2075","5.298","14.8561"
"ATP1A4","13.2799","16.2391","9.901","0","6.5577","6.878","6.2546","2.649","2.0258"
"ATP1B1","3534.0492","2584.5948","1892.2914","881.9481","1130.4228","2204.1986","2904.2973","1930.6976","3557.8553"
"ATP1B2","72.3526","138.7938","105.3748","20.2445","82.1646","323.2656","56.6593","161.5894","343.041"
"ATP1B3","1709.9027","2730.7114","1359.2645","1678.7624","1418.7858","1183.3134","2952.1707","1608.3885","1214.1491"
"ATP1B4","0","0","0","0","0","257.4761","1.1038","0","11.8174"
"ATP2A1","16.0275","123.3159","53.041","3.0558","88.7223","926.1364","3.6792","9.713","10.1292"
"ATP2A2","6957.7562","9768.0912","6325.3182","7217.7235","6652.2461","22161.7823","3005.5188","8445.0331","7184.9535"
"ATP2A3","2396.3366","1322.4743","656.2942","1343.3919","1832.309","445.5742","495.2171","704.1943","1665.9098"
"ATP2B1","807.7848","936.5412","1045.9689","907.945","816.2454","847.7871","609.6394","1183.223","1376.5533"
"ATP2B2","0.9159","4.3135","0.7072","1.1459","0.7715","5.6818","3.6792","3.0905","3.3764"
"ATP2B3","0.4579","0.5075","0","0","0","0.8971","0","0","0"
"ATP2B4","3043.8466","4713.6616","3920.7921","1956.8373","4897.4727","20772.4282","1767.4761","6424.7241","5261.7629"
"ATP2C1","6605.8752","6901.2375","7661.9873","7957.5592","7551.0997","3382.8947","9154.5438","6169.404","4647.1962"
"ATP2C2","2541.9576","1575.957","1684.5827","718.1054","2683.6576","180.323","768.5798","570.8609","943.3628"
"ATP4A","0.4579","0.5075","0","0","0","0","0","0","0.6753"
"ATP4B","0","0","0.7072","0.7639","0.7715","0","0.7358","0","0.6753"
"ATP5A1","9652.6617","9189.0647","9628.0057","15265.0879","10841.8688","11474.2823","16367.1818","9157.1744","8332.9254"
"ATP5B","10042.8163","11101.2224","10835.9335","19030.5577","11782.7113","14529.3062","17037.1597","10911.6998","8456.8388"
"ATP5C1","1980.0801","2245.3136","2045.2617","3267.7617","2563.3039","2464.1148","5006.6225","2035.7616","1940.7478"
"ATP5D","1186.0332","759.1794","889.6747","1498.8541","965.5304","1000","1700.5151","886.9757","732.3385"
"ATP5E","1979.1643","2321.942","2295.6153","2366.6921","2640.8395","2180.323","5611.8469","2072.4062","1758.0852"
"ATP5EP2","18.775","23.8512","45.9689","20.6264","14.2727","67.8828","50.4047","12.362","11.1421"
"ATP5F1","2467.3154","2560.2006","2777.2277","3495.4163","3309.3429","2842.7033","6940.3974","2595.1435","2453.2835"
"ATP5G1","843.9611","872.5996","826.7327","1401.8335","968.6164","644.7368","1696.8359","791.17","605.3864"
"ATP5G2","5136.1191","5179.5217","5803.3946","7355.615","6244.1234","3533.4928","9256.8065","3629.5806","3343.9746"
"ATP5G3","2040.0687","2565.7828","2333.8048","3487.7769","2662.0557","2949.1627","5114.0545","2368.6534","2154.1355"
"ATP5H","1569.3188","1820.8126","1896.7468","2593.9649","1981.9797","1625.5981","3435.6144","1607.064","1319.83"
"ATP5I","728.6686","1109.9675","894.6252","964.4079","1102.1397","843.3014","2406.9684","932.0088","631.4723"
